Phrase,Sentiment
a lifestyle,2
it 's not quite the genre-busting film it 's been hyped to be because it plays everything too safe .,1
of Equilibrium,2
a few crucial things,2
Melville 's plotline,2
Wobbly Senegalese updating of `` Carmen '' which is best for the stunning star turn by Djeinaba Diop Gai,2
By the final whistle,2
"sordid of human behavior on the screen ,",1
so distant,1
hopefully it 'll be at the dollar theatres by the time Christmas rolls around,1
light showers of emotion,3
persona,2
of a transit city on the West African coast struggling against foreign influences,2
's an excellent 90-minute film here,4
a lot of stamina and vitality,3
"'s a real shame that so much of the movie -- again , as in The Animal -- is a slapdash mess .",0
movies about their lives,2
summons,2
a father who returns to his son 's home after decades away,2
Lion King '',2
80 minutes,2
-LRB- or Robert Aldrich,3
"soulful ,",3
bespeaks an expiration date passed a long time ago,1
oversized picture book,2
awe and affection -- and,4
rendered tedious by Avary 's failure to construct a story with even a trace of dramatic interest,0
naked teenagers horror flick,1
rests,2
a near-future America,2
that his pathology evolved from human impulses that grew hideously twisted,2
The leanest and meanest of Solondz 's misanthropic comedies .,3
"lack contrast , are murky and",0
ESPN,3
between the artificial structure,1
lackadaisical,1
's not too fast and not too slow,2
"Star Trek was kind of terrific once ,",3
"manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie",3
of the hilarious writer-director himself,3
characteristically engorged and sloppy,0
appetizer that leaves you wanting more,4
inquiry,2
truly distinctive and a deeply pertinent film,3
her cast,2
"'s really little more than a particularly slanted , gay s\/m fantasy , enervating and deadeningly drawn-out .",1
three strands which allow us to view events as if through a prism,2
"took three minutes of dialogue , 30 seconds of plot and",1
Reid,2
seems fried in pork,2
it 's far from fresh-squeezed,1
consume pop culture,2
"Contains the humor , characterization , poignancy , and intelligence of a bad sitcom .",1
a column,2
history course,2
heroic tale,2
"This is a picture that Maik , the firebrand turned savvy ad man , would be envious of : it hijacks the heat of revolution and turns it into a sales tool",3
add to the canon of Chan,2
drawn engaging characters,4
"The film falls short on tension , eloquence , spiritual challenge -- things that have made the original New Testament stories so compelling for 20 centuries .",1
dodges and,2
the insipid script,0
dilutes the pleasure of watching them,1
Smaller numbered kidlets,2
"ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense",3
making it one of the best war movies ever made,4
extraordinary life,2
Berg,2
if the film is well-crafted and this one is,4
's that good,3
"Meyjes focuses too much on Max when he should be filling the screen with this tortured , dull artist and monster-in-the - making .",2
how it washed out despite all of that,1
", there is n't one true ` Chan moment ' .",2
manages to incorporate both the horror,3
moratorium,2
Despite modest aspirations its occasional charms are not to be dismissed .,3
kill Michael Myers for good,3
of the early '80s,2
assumption,2
"if it had been only half-an-hour long or a TV special , the humor would have been fast and furious -- at ninety minutes , it drags",1
breathes more,3
American Adobo,2
being `` in the mood '' to view a movie as harrowing and painful as The Grey Zone,1
lamer instincts,3
which is especially unfortunate in light of the fine work done by most of the rest of her cast,1
"Tom Shadyac has learned a bit more craft since directing Adams , but he still lingers over every point until the slowest viewer grasps it .",2
I had entered,2
feel my eyelids ... getting ... very ... heavy,0
the suspense,2
"with a solid pedigree both in front of and , more specifically , behind the camera",4
might even,2
a dashing and resourceful hero,3
"There are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies .",3
too many story lines,1
"wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers",1
benefit from a helping hand and a friendly kick in the pants,2
"are you wo n't ,",2
thrills from your Halloween entertainment,3
"is , truly and thankfully",2
a deeply moving effort to put a human face on the travail of thousands of Vietnamese,4
excite,3
"a more colorful , more playful tone than his other films",3
-LRB- Witherspoon 's -RRB- better films,2
", if disingenuous ,",1
country,2
heading,3
"sloppy , made-for-movie",0
nor Robert De Niro,2
Sandlerian,2
the service of a limpid and conventional historical fiction,0
"It is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .",3
contact,2
that is dark,1
The only thing that distinguishes a Randall Wallace film from any other,2
get made,2
who at times lift the material from its well-meaning clunkiness,2
Just about the surest bet,4
most magical and,4
"Although Barbershop boasts some of today 's hottest and hippest acts from the world of television , music and stand-up comedy , this movie strangely enough has the outdated swagger of a shameless ` 70s blaxploitation shuck-and-jive sitcom .",2
"one-sided ,",1
wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car,2
quirky inner selves,2
be much more,2
Very stupid and annoying .,0
build,2
"undermined by the movie 's presentation , which is way too stagy",1
been trying to pass off as acceptable teen entertainment for some time now,2
seriously dumb characters,0
Intacto 's,2
than the execution,2
"A worthy addition to the cinematic canon , which , at last count , numbered 52 different versions .",4
Powers films,2
that ten bucks you 'd spend on a ticket,2
will probably make you angry .,2
interpretation,2
the people who paid to see it,2
"One of those movies that catches you up in something bigger than yourself , namely , an archetypal desire to enjoy good trash every now and then .",4
how these families interact,2
A compelling French psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart .,3
nuclear terrorism,2
interested in discretion,2
We want the funk - and this movie 's got it .,3
the scenes of Jia with his family,2
of Being Earnest,2
like a cold old man going through the motions .,1
one spectacularly ugly-looking broad,1
have ever approached,2
"brisk , reverent , and subtly different",3
Morris,2
the Queen 's,2
Brett Morgen and Nanette Burstein,2
brain,2
"is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families",3
ongoing -,2
definite weaknesses,2
could have been pulled from a tear-stained vintage Shirley Temple script,2
is our story,2
undermines,2
it should,2
"beauty ,",3
pat inspirational status,2
When the precise nature of Matthew 's predicament finally comes into sharp focus,2
in full consciousness,3
front ranks,2
as an eloquent memorial,3
"Tavernier 's film bounds along with the rat-a-tat energy of `` His Girl Friday , '' maintaining a light touch while tackling serious themes .",4
is confused in Death to Smoochy into something both ugly and mindless .,1
", then the film is a pleasant enough dish .",3
given this movie,2
of moronic stunts,1
sustain the film,2
Martha could have used a little trimming,1
", the -LRB- opening -RRB- dance guarantees Karmen 's enthronement among the cinema 's memorable women .",4
invest such subtlety and warmth in an animatronic bear,2
the duration of the film 's shooting schedule waiting to scream,1
a small but rewarding comedy,3
idiots,0
"It may sound like a mere disease-of - the-week TV movie , but A Song For Martin is made infinitely more wrenching by the performances of real-life spouses Seldahl and Wollter",3
Marquis,3
in its lackluster gear of emotional blandness,0
a change in -LRB- Herzog 's -RRB- personal policy,2
a visual style unique and inherent,3
striking style,4
's more or less how it plays out,2
filling nearly every minute,2
An unbelievably stupid film,0
caught but the audience gets pure escapism .,2
"By turns gripping , amusing , tender and heart-wrenching",3
Lilo & Stitch,2
which he portrays himself in a one-note performance,2
your random E,2
be the most oddly honest Hollywood document of all,3
"that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness",1
"that , this performance or",2
"gentle , lapping rhythms of this film",3
again .,2
Metropolis is a feast for the eyes .,4
off the path of good sense,1
will wear you out and make you misty even when you do n't,3
That proves,2
embroils two young men,2
dismember,1
Great character,4
moviemaker 's,2
Slap her - she 's not funny !,1
equally strange,2
to each other,2
the poor acting,0
something creepy and vague,1
imprint,2
long-suffering but cruel,2
"Lucky Break is perfectly inoffensive and harmless , but",2
their romances,3
a kid can go through,2
The whole affair is as predictable as can be .,2
"is a grating , mannered onscreen presence , which is especially unfortunate in light of the fine work done by most of the rest of her cast .",1
beyond their surfaces,2
your responsibilities,2
this otherwise challenging soul,2
its diverting grim message is a good one,3
feels like a book report,1
Rice 's,2
urgent,2
understand what on earth is going on,2
their servants,2
"no character , loveable or otherwise",0
a lazy exercise in bad filmmaking,0
and drab wannabe,0
"Argento , at only 26 ,",2
the odd enjoyably chewy lump,3
dramatic enough,3
certainly not without merit,3
be had here,2
centre screen,2
accompanies,2
a freaky bit of art,2
standard,1
"has been overexposed , redolent of a thousand cliches , and yet remains uniquely itself",2
the psychological thriller,2
often funny way,3
comfortable enough,3
"you feeling like it was worth your seven bucks , even though it does turn out to be a bit of a cheat in the end",2
the outlandishness,2
deadpan,2
... one of the more influential works of the ` Korean New Wave ' .,4
unforgivingly inconsistent,0
becomes long and tedious,1
skeptics,1
too many conflicts,1
8 Crazy Nights,3
"The dramatic scenes are frequently unintentionally funny ,",1
"Trapped wo n't score points for political correctness ,",1
embarrassed,1
the shrill side,2
Jennifer Lopez 's most aggressive and most sincere attempt,3
"I did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes",0
the laws of physics,2
More sophisticated and literate than such pictures usually are ... an amusing little catch .,3
fascinated by Behan,2
Sorority Boys is a bowser .,1
've actually,2
seldom hammy,3
move beyond the crime-land action genre,4
most hackneyed,1
strutting,2
he could n't have brought something fresher to the proceedings simply by accident,2
on PBS,2
personal portrait,2
this could be a movie that ends up slapping its target audience in the face by shooting itself in the foot .,1
required genuine acting,2
much of the action,2
"... The movie , shot on digital videotape rather than film , is frequently indecipherable .",1
to the makers of The Singles Ward,2
traditional layers of awakening and ripening,2
is sentimental,3
Alain,2
truly frightening situation,3
it works superbly here,4
saw Quentin Tarantino 's handful of raucous gangster films and branched out into their own pseudo-witty copycat interpretations,1
The metaphors,2
Caine -RRB-,2
"a most traditional , reserved kind of filmmaking",3
"Offers no new insight on the matter , nor do its characters exactly spring to life .",0
self-deprecating level,2
answers,2
to aim the film at young males in the throes of their first full flush of testosterone,2
animated,2
glimpse,2
"... by the time it 's done with us , Mira Nair 's new movie has its audience giddy with the delight of discovery , of having been immersed in a foreign culture only to find that human nature is pretty much the same all over .",4
a dreary tract of virtually plotless meanderings,0
"It does give a taste of the Burning Man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .",3
an unfunny movie that thinks it 's hilarious,1
its moments in looking at the comic effects of jealousy,2
"of bright young men -- promising , talented , charismatic and tragically",3
"in a movie that is definitely meaningless , vapid and devoid of substance",0
indignation,1
Yuen,2
"silent , lumpish cipher",1
pushed to their most virtuous limits,3
a worthwhile addition to a distinguished film legacy,3
"more confused , less interesting",1
some of the writers ' sporadic dips,2
no less,2
of a movie,2
the astute direction of Cardoso and,3
Holm 's performance,2
's a solid movie about people whose lives are anything but,3
's hard to imagine acting that could be any flatter .,1
A film with contemporary political resonance illustrated by a winning family story .,3
Could I,2
few things in this world more complex -- and,2
"in the world devastated by war , famine and poverty and documented the cruelty and suffering he has found with an devastating , eloquent clarity",4
pathetic junk,0
"I found The Ring moderately absorbing , largely for its elegantly colorful look and sound .",3
the characters will not disappoint anyone who values the original comic books,3
a world of artistic abandon and,2
as it is nit-picky about the hypocrisies of our time,2
", is painterly .",1
tackled a meaty subject,3
", ' then Cinderella II proves that a nightmare is a wish a studio 's wallet makes .",2
members of the cultural elite,1
the kid who latches onto him,2
"is now stretched to barely feature length , with a little more attention paid to the animation",1
"easy to swallow ,",3
"slightly sunbaked and summery mind , Sex and",3
comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness .,3
"contrived and exploitative for the art houses and too cynical , small and decadent for the malls",1
catalog every bodily fluids gag in There 's Something About Mary and devise a parallel clone-gag,1
"deserve to hear the full story of Jonah 's despair -- in all its agonizing , Catch-22 glory -- even if they spend years trying to comprehend it",2
from floating away,2
not-so-hot,1
"Laughably , irredeemably awful .",0
raunchy and graphic as it may be in presentation --,3
dialogue bits,2
the Dahmer heyday of the mid - '90s,2
visual treat,3
Definitely worth 95 minutes,4
upon it,2
execution date,2
", R-rated , road-trip version",2
"A little less extreme than in the past , with longer exposition sequences between them ,",2
is n't dull,2
's surely something,2
skillful and moving,3
be as heartily sick of mayhem as Cage 's war-weary marine,2
"feels as if -LRB- there 's -RRB- a choke leash around your neck so director Nick Cassavetes can give it a good , hard yank whenever he wants you to feel something",0
Slackers or their antics,2
formulas,2
his trademark misogyny,1
Quinn,2
"One of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone screams at the top of their lungs no matter what the situation .",1
it ends,2
The culmination,2
pity anyone,2
familiar material,2
Snide and Prejudice .,1
"Earnest ,",3
", sets the tone for a summer of good stuff",3
flat-out,2
With few respites,3
the Farrelly brothers ' oeuvre,2
quite often hotter,2
She allows each character to confront their problems openly and honestly .,3
underdog,2
with false starts,1
uses his usual modus operandi of crucifixion,1
built-in audience,3
neither warm nor fuzzy,2
flamboyance,2
"he has no character , loveable or otherwise",0
those on both sides of the issues,2
` do,2
There 's no reason to miss Interview with the Assassin,4
necessary,2
several scenes,2
from the bland songs to the colorful but flat drawings,1
to their characters,2
of the back-story,2
the funnybone,2
point -- that everyone should be themselves --,2
who staggered from the theater and blacked out in the lobby,1
De Palma to his pulpy thrillers of the early '80s,2
toss-up,3
Alexandre Dumas classic,3
find out,2
of its aspiration to be a true ` epic ',3
"the magnificent swooping aerial shots are breathtaking ,",3
those rejected must have been astronomically bad,2
"is almost completely lacking in suspense , surprise and consistent emotional conviction .",0
Lacks depth .,1
The 1960s rebellion was misdirected :,1
an autopilot Hollywood concoction,1
short of a great one,2
"more revealing , more emotional and more surprising",4
to end on a positive -LRB- if tragic -RRB- note,3
is that Van Wilder does little that is actually funny with the material,0
rich and exciting,3
beginning to resemble someone 's crazy French grandfather,1
to the similarly themed ` The French Lieutenant 's Woman,2
with one Hollywood cliche,2
"that Werner Herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken",4
four-hour,2
cartoon counterparts,2
too many chefs,2
its execution and skill,4
a lousy one at that,1
had had more faith in the dramatic potential of this true story,2
This English-language version,2
"builds to an intense indoor drama about compassion , sacrifice , and Christian love in the face of political corruption",4
"slightly sunbaked and summery mind , Sex and Lucia",3
thornier,1
set in Newfoundland that cleverly captures the dry wit that 's so prevalent on The Rock .,3
The best drug addition movies,3
That 's not vintage Spielberg and,1
black-owned record label,2
two guys,2
Aragorn,2
to have you leaving the theater with a smile on your face,4
brow,3
horns in and steals the show,2
amazing breakthrough,4
this a superior movie,4
as much humor as pathos,3
if stupid Americans will get a kick out of goofy Brits with cute accents performing ages-old slapstick and unfunny tricks,1
a shrewd and effective film from a director who understands how to create and sustain a mood,3
of that post 9-11 period,2
in the heart-breakingly extensive annals of white-on-black racism,2
densely,2
"Did no one on the set have a sense of humor , or",1
Beck,2
into the insubstantial plot,2
playing fair with the audience,2
their labor,2
"it chills the characters , reducing our emotional stake in the outcome of `` Intacto 's '' dangerous and seductively stylish game",1
as revolutionary,2
gay personal ads,1
visual in-jokes,2
Newcastle,2
that shows the promise of digital filmmaking,3
her beloved genre,2
not funny performers,1
successes,3
was being attempted here that stubbornly refused to gel,1
", we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her .",2
it 's,2
strong and convincing performances,4
greedy talent agents,1
Like Mike,2
that 's all,2
"self-mocking ,",1
the film should instead be called ` My Husband Is Travis Bickle ',1
"a hoot watching The Rock chomp on jumbo ants , pull an arrow out of his back , and leap unscathed through raging fire",3
guitar,2
"'s a familiar story , but one that is presented with great sympathy and intelligence .",4
into the proceedings at every turn,2
the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth,2
went over my head,1
clumsiness,1
"Loosely speaking , we 're in All of Me territory again",2
desolate air,2
credited with remembering his victims,2
great game,3
the spinning styx,2
"'s a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug .",0
Mr. Chabrol 's subtlest works,3
"strives to be more ,",2
is n't even a movie,0
"A subtle , poignant picture of goodness that is flawed , compromised and sad .",2
"Lasker 's canny , meditative script distances sex and love",2
high-octane,3
disoriented but occasionally,1
"By its modest , straight-ahead standards",2
weighs down his capricious fairy-tale,1
is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics .,3
feeling like a great missed opportunity,1
owe more to Disney 's strong sense of formula,2
"an otherwise appalling , and downright creepy , subject --",1
this Cinderella story does n't have a single surprise up its sleeve .,1
Shreve 's,2
roundelay,2
daringly preposterous thesis,2
", bombastic and ultimately empty World War II action",1
circular structure,2
at best in this forgettable effort,2
"It 's packed with adventure and a worthwhile environmental message , so",4
"compassion , sacrifice ,",3
a meditation,2
"had , lost",2
near-miss .,1
astonishing voice cast,3
"to work with , sort of like Michael Jackson 's nose",1
with Musset,2
's not a great monster movie .,1
It 's the kind of effectively creepy-scary thriller that has you fixating on a far corner of the screen at times because your nerves just ca n't take it any more .,4
these harrowing surf shots,2
that I mind ugly,2
the glaring triteness of the plot device,1
just plain,1
make for some robust and scary entertainment .,4
"hold dear about cinema , only now it 's begun to split up so that it can do even more damage",1
The Avengers and,2
starring role,2
"there 's no real sense of suspense , and none of the plot ` surprises ' are really surprising",0
K,2
excellent use of music,3
've rarely been given,2
of a New York,2
"attempts ,",2
thinly sketched,2
wrong on both counts,1
"the performances by Harris , Phifer and Cam",2
enjoy the perfectly pitched web of tension that Chabrol spins,3
ever witnessed,2
"go into the theater expecting a scary , action-packed chiller",2
ca n't distract from the flawed support structure holding Equilibrium up,1
required,2
only there were one for this kind of movie .,2
uneasily,1
Mr. Chicken,2
Nair,2
goes wrong thanks to culture shock and a refusal to empathize with others,2
a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up,3
appeared,2
of bad guys,2
via communication,2
percolating,3
"Simone ,",2
leader Fidel Castro,2
Tells -LRB- the story -RRB-,2
The movie is loaded with good intentions,3
be history,2
common goal,2
make and,2
that should please history fans,4
"The movie worked for me right up to the final scene , and",3
one way,2
you might want to check it out,3
"Why , you may ask , why should you buy the movie milk when the TV cow is free ?",1
it plays like a powerful 1957 drama we 've somehow never seen before,4
chokes on its own self-consciousness .,1
like a huge set of wind chimes,2
In visual fertility Treasure Planet rivals the top Japanese animations of recent vintage .,3
which might have been called Freddy Gets Molested by a Dog,1
"anything but frustrating , boring , and forgettable",2
in the giant spider invasion comic chiller,2
", well ,",3
potentially just as rewarding,3
in the theater lobby,2
repulsive and depressing,0
has made its way into your very bloodstream,3
lavish grandeur,3
really sad,2
a changing world,3
"There are n't many conclusive answers in the film , but there is an interesting story of pointed personalities , courage , tragedy and the little guys vs. the big guys",3
so endlessly,2
Easily one,2
"does n't understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself .",0
most interesting,3
"Blue Crush '' is the phenomenal , water-born cinematography by David Hennings",4
this franchise is drawing to a close,2
written down,2
an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair,4
one of the rarest kinds of films :,3
a child 's,2
Lee,2
Nohe 's,2
and unoriginal mess,1
the I-heard-a-joke,2
"It shares the first two films ' loose-jointed structure ,",1
", Treasure Planet is truly gorgeous to behold .",4
critic,2
many flaws,0
advance screening,2
"Davis has energy , but she does n't bother to make her heroine 's book sound convincing , the gender-war ideas original , or the comic scenes fly .",2
that 's about as overbearing and over-the-top as the family it,0
written and directed with brutal honesty and respect for its audience .,4
of this unique director 's previous films,3
"fallen under the sweet , melancholy spell of this unique director 's previous films",3
battle,2
"Ultimately ... the movie is too heady for children , and too preachy for adults .",1
highly ambitious and personal project,3
produce adequate performances,3
like love,2
lists and ways,3
Safe Conduct -LRB- `` Laissez-passer '' -RRB-,2
highlighted by Kwan 's unique directing style,3
"video , and so devoid of artifice and purpose",1
that there 's really not much of a sense of action,1
excuse for a film,1
may be waiting for us at home,2
propaganda machine,2
the right bands for the playlist and the costuming of the stars,3
retrieve her husband,2
that scalds like acid,0
they grow up and,2
"a reluctant , irresponsible man and",1
makes a valiant effort to understand everyone 's point of view,3
a large dose of painkillers,1
"fact , even better",3
fairly pretty pictures,3
the populace,2
well-balanced,3
unusually crafty and intelligent for Hollywood horror,3
the tear-jerking demands,3
"the world 's best actors ,",4
sounds promising,3
"It 's Tommy 's job to clean the peep booths surrounding her ,",2
a big deal,2
survival wrapped in the heart-pounding suspense of a stylish psychological thriller,4
have to see it .,3
"can still make you feel that you never want to see another car chase , explosion or gunfight again",1
the minds of the audience,2
who enter here,2
the fight scenes,2
"things that elevate `` Glory '' above most of its ilk ,",3
a deep vein of sadness,1
represents Adam Sandler 's latest attempt,2
fling gags at it,1
An opportunity missed .,1
expect much more,1
"Bill Plympton ,",2
Make a movie about whimsical folk,2
your SAT scores,2
"love Moore or loathe him , you 've got to admire ... the intensity with which he 's willing to express his convictions",3
hijacks,2
Hard and,2
the same stuff,2
have been born to make,2
vengefulness,2
Christianity,2
more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film,1
the excellent performances,4
The darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil,1
What a stiflingly unfunny and unoriginal mess this is !,0
of such,2
sit still,2
the fence between escapism and social commentary,2
are all solid,2
almost saccharine domestic interludes,3
is just a little bit hard,2
the lie,2
scary horror movie,3
reunion mixer,2
"cut their losses -- and ours -- and retitle it The Adventures of Direct-to-Video Nash , and send it to its proper home",0
"Fails to satisfactorily exploit its gender politics , genre thrills or inherent humor .",1
tantamount,2
great American adventure,3
A jumbled fantasy comedy that did not figure out a coherent game,1
be profane,1
ame and unnecessary,1
the original conflict,2
wrists,2
an unflinching look,3
", forgettably pleasant from start to finish",2
experimentation,2
have your head in your hands wondering why Lee 's character did n't just go to a bank manager and save everyone the misery,2
riveted,4
're content with a clever pseudo-bio that manages to have a good time as it doles out pieces of the famous director 's life,3
"made for kids or their parents , for that matter",2
can easily imagine Benigni 's Pinocchio becoming a Christmas perennial .,4
's not exactly worth,1
quietude,2
"it makes up for with a great , fiery passion .",4
"a few chuckles , but not",2
The characters are interesting and,3
"this too-long , spoofy update",1
A backhanded ode to female camaraderie,2
as John Carpenter 's original,2
Just dreadful .,0
in his hypermasculine element here,2
"a bad mannered , ugly and destructive little \*\*\*\*",0
should be able to appreciate the wonderful cinematography and naturalistic acting .,3
fresh way,2
-RRB- .,2
dicey screen material,1
Fangoria,2
mindless junk like this that makes you appreciate original romantic comedies like Punch-Drunk Love,0
Christmas season pics,2
50-year-old actor,2
Mr. Nachtwey,2
a very distinctive sensibility,3
particularly memorable,3
of its development,2
ensemble cast romances recently,3
of violence,2
"A creepy , intermittently powerful study of a self-destructive man",2
is just too original,2
rather thin,1
such subtlety and warmth,3
ideological,3
"these women , one that spans time and reveals meaning",3
her talent is supposed to be growing,2
that Eddie Murphy nor Robert De Niro has ever made,2
dark and quirky comedy,3
"Broomfield 's style of journalism is hardly journalism at all ,",1
Producer,2
"idea -LRB- of middle-aged romance -RRB- is not handled well and ,",1
puts old-fashioned values under the microscope,2
A peculiar,2
though the subject matter demands acting that borders on hammy at times,2
so-so animation,1
a snore and utter tripe,0
Meara,2
a fresh view,4
51 times,2
typical Pax,1
glorified sitcom,1
to mention absolutely refreshed,3
stolid remake,1
Gooding and,2
so awful,1
Just a bunch,2
terribly episodic and lacking the spark of imagination that might have made it an exhilarating,1
cast in action films when none of them are ever any good,2
The filmmakers ' eye for detail,3
"is contrived , unmotivated , and psychologically unpersuasive ,",1
for a modern-day urban China,2
ploddingly sociological commentary,1
the star of the story,2
avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up,3
some of the recent Hollywood trip tripe,2
hamming it up,2
spaniel-eyed,2
stinging social observations,2
An elegant and sly deadpan,4
Edward,2
a beer with but they 're simply not funny performers,1
of Greene 's prose,2
of glamour and sleaze,2
"by the movie 's presentation , which is way too stagy",1
An awkwardly garish showcase that diverges from anything remotely probing or penetrating .,0
great expectations,2
The series ' message,2
a romantic comedy that 's not the least bit romantic and only mildly funny,1
very rainy,2
real-life events,2
The advantage,2
voting,2
to scoring high for originality of plot,4
a movie that is what it is :,2
could hardly ask for more,3
will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like Pinocchio,1
even greater,2
"big , fat , dumb",1
"figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats",3
too -RRB-,2
"has no doubt fantasized about what an unhappy , repressed and twisted personal life their tormentor deserved .",1
a satisfying evening at the multiplex,4
name,2
such a mechanical endeavor -LRB- that -RRB- it never bothers to question why somebody might devote time to see it,2
an adult 's,2
Criterion DVD,2
the sexes,2
Orlando Jones -RRB-,2
a Vietnamese point,2
Chabrol spins,2
's also somewhat clumsy .,1
-LRB- Aniston -RRB- has always needed to grow into a movie career,2
frame,2
"that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002",1
it has just as many scenes that are lean and tough enough to fit in any modern action movie,3
"in this day and age , is of course the point",2
whimper,1
owe Nicolas Cage an apology,2
brief amount,2
"Oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between",2
Rising Place,2
self-empowering schmaltz,2
", like Silence , it 's a movie that gets under your skin .",3
his franchise,2
"is ,",2
everything else,2
Crossroads is never much worse than bland or better than inconsequential,2
"an extraordinary poignancy , and",2
competent,3
area,2
explosive physical energy and,3
your problems,2
a female friendship,2
"Because the intelligence level of the characters must be low , very low , very very low , for the masquerade to work",0
offer subtitles and the original Italian-language soundtrack,2
the floor,2
"A directorial tour de force by Bernard Rose , ivans xtc .",3
unlike many revenge fantasies,2
"... strips Bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults .",3
determined woman 's,2
either the obviousness of it all or its stupidity or maybe even its inventiveness,1
"win the band a few new converts ,",2
Lau,2
have the best of both worlds,3
hitting your head on the theater seat,1
three-hour cinema master class .,3
"This Chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare .",4
"at relating history than in creating an emotionally complex , dramatically satisfying heroine",2
caught in a heady whirl of New Age-inspired good intentions,3
demonic doings,2
"form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people .",4
stylish weaponry,3
and cinematic deception,1
seems to take an unseemly pleasure in -LRB- the characters ' -RRB- misery and at the same time to congratulate himself for having the guts to confront it .,2
note,2
Kunis,2
slights,2
the rug out,2
comic relief,3
the cultural distinctions between Americans and Brits,2
might not have been such a bad day after all .,2
allowing the film to paradoxically feel familiar and foreign at the same time,2
"a great story ,",3
Amish,2
like the similarly ill-timed Antitrust,1
A sensitive and astute,3
"The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .",3
his role as -LRB- Jason Bourne -RRB-,2
9-11 terrorist attacks,2
more faith,2
is fixated on the spectacle of small-town competition .,2
with great expectations,2
Lawrence plumbs personal tragedy and also the human comedy .,3
"a sick , twisted sort of way",1
it 's potentially just as rewarding,3
emotionally bruised characters,1
your disbelief,2
little tale,2
"Robert Altman , Spike Lee",2
are frequently more fascinating than the results .,2
utterly inept,2
by Antwone Fisher based on the book by Antwone Fisher,2
Breheny 's -RRB- lensing,2
increasingly threadbare gross-out comedy cycle,2
looks much more like a cartoon in the end than The Simpsons ever has,1
inoffensive fluff,2
perversity,1
"is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film .",4
formula payback and,1
Initial strangeness inexorably gives way to rote sentimentality and mystical tenderness becomes narrative expedience .,2
the movies ',2
-LRB- Ferrera -RRB- has the charisma of a young woman who knows how to hold the screen .,4
a checklist,2
make,2
a monster movie for the art-house crowd,2
"A ` Girls Gone Wild ' video for the boho art-house crowd , The Burning Sensation",1
in the final 30 minutes,2
cheapo animation -LRB- like Saturday morning TV in the '60s -RRB-,1
Since Lee is a sentimentalist,2
"about Italian - , Chinese - , Irish - , Latin",2
the Holocaust has generated,2
gangster flick,2
"risks trivializing it , though Chouraqui no doubt intended the film to affirm love 's power to help people endure almost unimaginable horror",2
opera-ish story,1
", as it turns out ,",2
to this project,2
Felinni would know what to make of this Italian freakshow .,2
the mixture of Bullock Bubble and Hugh Goo,2
"writing , direction and timing",2
left slightly unfulfilled,1
", I 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show .",3
do little to salvage this filmmaker 's flailing reputation,0
allows his cast,2
Sisterhood with a hefty helping of Re-Fried Green Tomatoes .,2
a closet,2
Burns 's strongest film,3
shoplifts shamelessly from farewell-to-innocence movies like The Wanderers and A Bronx Tale,1
